epoch,K_mae,Phi_mae,Theta_mae,P_mae,T_mae,TPR_mae,FPR_mae,K_std,Phi_std,Theta_std,P_std,T_std
1,1.853986457,7.725291699,2.488345318,6.518108398,8.893504739,94.75930929,1.383869816,3.489693627,13.85970891,3.770723194,12.26095259,14.22034055
2,1.401169877,7.029769421,2.076185681,5.106365308,8.136633039,96.02221251,0.993127469,3.007259034,12.88652703,3.302126527,8.570715785,13.30198497
3,1.285650861,6.673196554,1.780813783,4.454637691,7.803338021,96.74265981,0.912859943,2.874797769,12.50767708,2.924938202,7.278711349,12.9605785
4,1.233093347,6.418361217,1.606047247,4.251032323,7.632835954,96.95135355,0.819460303,2.79312674,12.2634472,2.742937747,7.000484318,12.78374642
5,1.198052429,6.384501681,1.545172166,4.049954936,7.519482076,96.96053863,0.73085418,2.739577554,12.10720181,2.616560105,6.821068376,12.66122758
6,1.139169373,6.16151154,1.468076762,3.969428688,7.430735976,96.88336849,0.649738684,2.694397792,11.98290691,2.502585333,6.711339951,12.5669688
7,1.114527229,6.289872006,1.359484009,3.879640251,7.365878671,97.25354314,0.854856335,2.660346963,11.89021513,2.407361213,6.60026297,12.48707995
8,1.086759008,6.029735953,1.294556279,3.763157874,7.266518474,97.01026082,0.677701226,2.631135471,11.79917023,2.317442335,6.496006995,12.41449416
9,1.063700393,5.968432724,1.25181729,3.712240234,7.224850357,97.10068107,0.706036482,2.607098594,11.71834722,2.259056177,6.431571394,12.37003803
10,1.050434355,5.927925333,1.206893139,3.691711649,7.176239043,97.22282887,0.749197556,2.583608218,11.64911672,2.197939195,6.368433684,12.31952235
11,1.14813121,5.849731565,1.23399334,3.650417924,7.135511935,97.10152149,0.655689696,2.600667067,11.5973179,2.174704056,6.322798133,12.28715926
12,1.136882324,5.891865715,1.164811207,3.596583381,7.107717544,97.15658426,0.669321883,2.574271522,11.54458299,2.136941403,6.282931566,12.26139888
13,1.016220544,5.755279586,1.127856737,3.594488278,7.085011154,97.3677516,0.75869197,2.530286275,11.48065388,2.099017985,6.242602691,12.23736852
14,1.028485317,5.699733719,1.131537482,3.544661775,7.072973996,97.35041857,0.714709004,2.519131266,11.43938005,2.088189907,6.208701804,12.21570596
15,1.05047524,5.74337393,1.088474868,3.715615347,7.057738304,97.42215276,0.730682118,2.519669756,11.40359536,2.058693152,6.203486398,12.20406219
16,0.980789214,5.648586676,1.062973598,3.511805832,7.051683962,97.38692641,0.688752206,2.485942096,11.359469,2.03232469,6.153351441,12.18524128
17,0.960551295,5.603009909,1.052015601,3.513681889,7.041809708,97.32372761,0.638715085,2.473072149,11.3157624,2.012920585,6.1283838,12.17388511
18,0.951964781,5.587550327,1.066047493,3.500889242,7.017120719,97.45641351,0.701570231,2.461137436,11.28180563,2.000164669,6.112806872,12.16346547
19,0.951921102,5.549046546,1.027504737,3.466807678,7.001145929,97.58589864,0.753695797,2.450845018,11.24379002,1.984076779,6.087580323,12.15219572
20,0.943259988,5.609766059,1.01698746,3.45835872,7.002045959,97.44979739,0.660483446,2.438972145,11.21628731,1.971708611,6.071523204,12.14309558
21,0.927524548,5.503041632,1.026347028,3.480152041,6.990289688,97.39255309,0.625406625,2.427499928,11.18688226,1.964868475,6.058370322,12.1369496
22,0.920962729,5.481323451,1.010683766,3.430404142,6.983413547,97.56314754,0.711451704,2.419464663,11.15007095,1.953522898,6.045603007,12.13214993
23,0.928765163,5.509282462,0.992084742,3.438467905,6.978282332,97.50460386,0.667245919,2.414162457,11.13662973,1.953561623,6.030906364,12.12430969
24,0.910376851,5.449440703,1.053182194,3.406671435,6.969687343,97.50524759,0.639645476,2.4016032,11.09331407,1.945124902,6.011768058,12.11478934
25,0.899686944,5.42673111,0.998399165,3.424649686,6.956651062,97.44431376,0.6087285,2.394387685,11.07654423,1.931902785,5.999327451,12.10680678
26,0.897465646,5.427885801,1.00322756,3.395862505,6.951506436,97.41593599,0.586566934,2.387151122,11.05482638,1.920593921,5.981968343,12.10243404
27,0.903520174,5.522226132,1.126985019,3.414855525,6.945877522,97.73090482,0.73220334,2.383023687,11.03467762,1.916779149,5.973271653,12.09761724
28,0.884376466,5.386549272,0.961979376,3.38113308,6.938575953,97.35743999,0.555293448,2.374471165,11.02646001,1.909238119,5.961484462,12.09340915
29,0.886644144,5.406854264,1.028858749,3.374696895,6.939028949,97.55343795,0.622101594,2.369086817,10.9992034,1.903679073,5.948493257,12.08568141
30,0.897010323,5.372251421,0.968741644,3.356302157,6.941322982,97.54264355,0.612679869,2.368771099,10.9852311,1.911124047,5.942470953,12.08600104
31,0.893704686,5.345275104,0.975754112,3.353524208,6.92589432,97.72580862,0.69309175,2.357489243,10.96374929,1.896225382,5.933536217,12.07838655
32,0.870076194,5.336388946,0.958066536,3.348412737,6.941339374,97.49309421,0.569790462,2.351895906,10.95155329,1.888848133,5.927135795,12.07322702
33,0.880917534,5.370357782,1.012485791,3.43204774,6.932688504,97.70208597,0.665937923,2.352120541,10.93272686,1.887691263,5.92093505,12.06664219
34,0.85817948,5.312327854,0.951938191,3.346944973,6.906498969,97.63813019,0.622045482,2.342578024,10.91672078,1.87606154,5.902723595,12.06295267
35,0.859958865,5.319781713,0.980465999,3.355361521,6.9529064,97.73686528,0.66336887,2.337090299,10.89872181,1.881412379,5.903331563,12.05853447
36,0.854702014,5.315263197,0.948118893,3.321276233,6.931887567,97.64134288,0.599384448,2.331979387,10.91357522,1.872035377,5.887160823,12.06006855
37,0.864187162,5.271244794,0.939873783,3.3344917,6.899097562,97.62457013,0.59316922,2.331749722,10.87328508,1.866394524,5.885620415,12.04902902
38,0.852556992,5.26354216,1.024264544,3.331326321,6.8938151,97.40237594,0.498626707,2.325022221,10.85457735,1.889916994,5.881574005,12.04404384
39,0.848416891,5.257284902,0.948943337,3.318903595,6.88829124,97.69133925,0.610552356,2.319704928,10.85012622,1.871612426,5.878134072,12.04321235
40,0.84262481,5.280104466,0.959088122,3.31238471,6.885681301,97.67561555,0.601802766,2.315767296,10.83495967,1.857593693,5.856420845,12.03548163
41,0.836221874,5.238140635,0.916071609,3.303071856,6.888931245,97.70500064,0.611173036,2.312337793,10.8216016,1.848639809,5.849372596,12.02866584
42,0.846146606,5.252278224,0.918786675,3.294355795,6.882513314,97.60836959,0.571339997,2.310069464,10.82068227,1.850288026,5.850439891,12.03167439
